experiment_start=2026-07-10T17:43:09Z description=refine matrix lr to 0.034
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_embd': 512, 'mlp_hidden_multiplier': 4, 'rotary_seq_len_multiplier': 10, 'rotary_base': 10000.0, 'softcap': 15.0, 'ignore_index': -1, 'init_wte_mean': 0.0, 'init_wte_std': 1.0, 'init_lm_head_mean': 0.0, 'init_lm_head_std': 0.001, 'init_matrix_scale': 1.7320508075688772}
Parameter counts:
  wte                     : 4,194,304
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  total                   : 33,554,432
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 180s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011307 | lrm: 1.00 | dt: 1557ms | tok/sec: 42,086 | mfu: 1.2% | epoch: 1 | remaining: 180s    
step 00001 (0.0%) | loss: 8.993477 | lrm: 1.00 | dt: 47ms | tok/sec: 1,406,190 | mfu: 39.3% | epoch: 1 | remaining: 180s    
step 00002 (0.0%) | loss: 8.683341 | lrm: 1.00 | dt: 46ms | tok/sec: 1,419,603 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00003 (0.0%) | loss: 8.453856 | lrm: 1.00 | dt: 46ms | tok/sec: 1,419,442 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00004 (0.0%) | loss: 8.305571 | lrm: 1.00 | dt: 46ms | tok/sec: 1,418,285 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00005 (0.0%) | loss: 8.197268 | lrm: 1.00 | dt: 46ms | tok/sec: 1,419,970 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00006 (0.0%) | loss: 8.102273 | lrm: 1.00 | dt: 46ms | tok/sec: 1,422,388 | mfu: 39.8% | epoch: 1 | remaining: 180s    
step 00007 (0.0%) | loss: 8.016698 | lrm: 1.00 | dt: 46ms | tok/sec: 1,417,203 | mfu: 39.6% | epoch: 1 | remaining: 180s    
step 00008 (0.0%) | loss: 7.937677 | lrm: 1.00 | dt: 46ms | tok/sec: 1,413,333 | mfu: 39.5% | epoch: 1 | remaining: 180s    
step 00009 (0.0%) | loss: 7.876215 | lrm: 1.00 | dt: 46ms | tok/sec: 1,421,556 | mfu: 39.8% | epoch: 1 | remaining: 180s    
step 00010 (0.0%) | loss: 7.830358 | lrm: 1.00 | dt: 46ms | tok/sec: 1,420,601 | mfu: 39.7% | epoch: 1 | remaining: 180s    
step 00011 (0.0%) | loss: 7.792400 | lrm: 1.00 | dt: 46ms | tok/sec: 1,423,242 | mfu: 39.8% | epoch: 1 | remaining: 180s    
step 00012 (0.0%) | loss: 7.756159 | lrm: 1.00 | dt: 46ms | tok/sec: 1,422,667 | mfu: 39.8% | epoch: 1 | remaining: 180s    
step 00035 (0.6%) | loss: 7.257897 | lrm: 1.00 | dt: 46ms | tok/sec: 1,411,012 | mfu: 39.5% | epoch: 1 | remaining: 179s    
step 00036 (0.6%) | loss: 7.246717 | lrm: 1.00 | dt: 47ms | tok/sec: 1,407,400 | mfu: 39.4% | epoch: 1 | remaining: 179s    
step 00037 (0.7%) | loss: 7.229919 | lrm: 1.00 | dt: 48ms | tok/sec: 1,372,235 | mfu: 38.4% | epoch: 1 | remaining: 179s    
step 00038 (0.7%) | loss: 7.213971 | lrm: 1.00 | dt: 47ms | tok/sec: 1,391,357 | mfu: 38.9% | epoch: 1 | remaining: 179s    
step 00039 (0.7%) | loss: 7.192821 | lrm: 1.00 | dt: 46ms | tok/sec: 1,410,802 | mfu: 39.5% | epoch: 1 | remaining: 179s    
step 00040 (0.8%) | loss: 7.176457 | lrm: 1.00 | dt: 46ms | tok/sec: 1,415,211 | mfu: 39.6% | epoch: 1 | remaining: 179s    
step 00041 (0.8%) | loss: 7.160990 | lrm: 1.00 | dt: 46ms | tok/sec: 1,413,014 | mfu: 39.5% | epoch: 1 | remaining: 179s    
step 00042 (0.8%) | loss: 7.140713 | lrm: 1.00 | dt: 47ms | tok/sec: 1,394,469 | mfu: 39.0% | epoch: 1 | remaining: 179s    
step 00043 (0.8%) | loss: 7.122537 | lrm: 1.00 | dt: 47ms | tok/sec: 1,405,564 | mfu: 39.3% | epoch: 1 | remaining: 178s    
step 00044 (0.9%) | loss: 7.102715 | lrm: 1.00 | dt: 47ms | tok/sec: 1,400,537 | mfu: 39.2% | epoch: 1 | remaining: 178s    
step 00045 (0.9%) | loss: 7.081014 | lrm: 1.00 | dt: 47ms | tok/sec: 1,392,520 | mfu: 39.0% | epoch: 1 | remaining: 178s    
step 00046 (0.9%) | loss: 7.066126 | lrm: 1.00 | dt: 50ms | tok/sec: 1,311,840 | mfu: 36.7% | epoch: 1 | remaining: 178s    
step 00047 (0.9%) | loss: 7.047254 | lrm: 1.00 | dt: 47ms | tok/sec: 1,400,894 | mfu: 39.2% | epoch: 1 | remaining: 178s    
step 00048 (1.0%) | loss: 7.031696 | lrm: 1.00 | dt: 47ms | tok/sec: 1,406,571 | mfu: 39.4% | epoch: 1 | remaining: 178s    
step 00049 (1.0%) | loss: 7.012946 | lrm: 1.00 | dt: 47ms | tok/sec: 1,386,374 | mfu: 38.8% | epoch: 1 | remaining: 178s    
step 00050 (1.0%) | loss: 6.995914 | lrm: 1.00 | dt: 47ms | tok/sec: 1,393,953 | mfu: 39.0% | epoch: 1 | remaining: 178s    
step 00051 (1.0%) | loss: 6.976285 | lrm: 1.00 | dt: 47ms | tok/sec: 1,382,553 | mfu: 38.7% | epoch: 1 | remaining: 178s    
step 00052 (1.1%) | loss: 6.960235 | lrm: 1.00 | dt: 47ms | tok/sec: 1,395,609 | mfu: 39.0% | epoch: 1 | remaining: 178s    
step 00053 (1.1%) | loss: 6.941285 | lrm: 1.00 | dt: 47ms | tok/sec: 1,390,603 | mfu: 38.9% | epoch: 1 | remaining: 178s    
step 00054 (1.1%) | loss: 6.922482 | lrm: 1.00 | dt: 47ms | tok/sec: 1,400,801 | mfu: 39.2% | epoch: 1 | remaining: 178s    
step 00055 (1.1%) | loss: 6.904987 | lrm: 1.00 | dt: 47ms | tok/sec: 1,400,095 | mfu: 39.2% | epoch: 1 | remaining: 178s    
step 00056 (1.2%) | loss: 6.891026 | lrm: 1.00 | dt: 47ms | tok/sec: 1,403,827 | mfu: 39.3% | epoch: 1 | remaining: 178s    
step 00057 (1.2%) | loss: 6.877474 | lrm: 1.00 | dt: 47ms | tok/sec: 1,408,207 | mfu: 39.4% | epoch: 1 | remaining: 178s    
step 00058 (1.2%) | loss: 6.864727 | lrm: 1.00 | dt: 47ms | tok/sec: 1,407,962 | mfu: 39.4% | epoch: 1 | remaining: 178s    
step 00059 (1.2%) | loss: 6.851527 | lrm: 1.00 | dt: 47ms | tok/sec: 1,390,027 | mfu: 38.9% | epoch: 1 | remaining: 178s    
step 00060 (1.3%) | loss: 6.835145 | lrm: 1.00 | dt: 47ms | tok/sec: 1,399,582 | mfu: 39.2% | epoch: 1 | remaining: 178s    
step 00061 (1.3%) | loss: 6.817608 | lrm: 1.00 | dt: 46ms | tok/sec: 1,411,642 | mfu: 39.5% | epoch: 1 | remaining: 178s    
step 00062 (1.3%) | loss: 6.804237 | lrm: 1.00 | dt: 46ms | tok/sec: 1,412,636 | mfu: 39.5% | epoch: 1 | remaining: 178s    
step 00063 (1.4%) | loss: 6.790568 | lrm: 1.00 | dt: 46ms | tok/sec: 1,409,659 | mfu: 39.4% | epoch: 1 | remaining: 178s    
step 00064 (1.4%) | loss: 6.777751 | lrm: 1.00 | dt: 47ms | tok/sec: 1,404,875 | mfu: 39.3% | epoch: 1 | remaining: 177s    
step 00065 (1.4%) | loss: 6.762478 | lrm: 1.00 | dt: 47ms | tok/sec: 1,382,657 | mfu: 38.7% | epoch: 1 | remaining: 177s    
step 00066 (1.4%) | loss: 6.747512 | lrm: 1.00 | dt: 47ms | tok/sec: 1,398,286 | mfu: 39.1% | epoch: 1 | remaining: 177s    
step 00067 (1.5%) | loss: 6.736062 | lrm: 1.00 | dt: 46ms | tok/sec: 1,411,751 | mfu: 39.5% | epoch: 1 | remaining: 177s    
step 00068 (1.5%) | loss: 6.724212 | lrm: 1.00 | dt: 47ms | tok/sec: 1,382,845 | mfu: 38.7% | epoch: 1 | remaining: 177s    
step 00069 (1.5%) | loss: 6.710467 | lrm: 1.00 | dt: 48ms | tok/sec: 1,377,668 | mfu: 38.5% | epoch: 1 | remaining: 177s    
step 00070 (1.5%) | loss: 6.701381 | lrm: 1.00 | dt: 47ms | tok/sec: 1,403,806 | mfu: 39.3% | epoch: 1 | remaining: 177s    
step 00071 (1.6%) | loss: 6.697848 | lrm: 1.00 | dt: 47ms | tok/sec: 1,404,545 | mfu: 39.3% | epoch: 1 | remaining: 177s    
step 00072 (1.6%) | loss: 6.690205 | lrm: 1.00 | dt: 46ms | tok/sec: 1,412,034 | mfu: 39.5% | epoch: 1 | remaining: 177s    
step 00073 (1.6%) | loss: 6.692156 | lrm: 1.00 | dt: 47ms | tok/sec: 1,407,025 | mfu: 39.4% | epoch: 1 | remaining: 177s    
step 00074 (1.6%) | loss: 6.690915 | lrm: 1.00 | dt: 47ms | tok/sec: 1,390,364 | mfu: 38.9% | epoch: 1 | remaining: 177s    
step 00075 (1.7%) | loss: 6.684463 | lrm: 1.00 | dt: 48ms | tok/sec: 1,378,193 | mfu: 38.6% | epoch: 1 | remaining: 177s    
step 00076 (1.7%) | loss: 6.673115 | lrm: 1.00 | dt: 47ms | tok/sec: 1,401,694 | mfu: 39.2% | epoch: 1 | remaining: 177s    
step 00077 (1.7%) | loss: 6.665420 | lrm: 1.00 | dt: 46ms | tok/sec: 1,409,854 | mfu: 39.4% | epoch: 1 | remaining: 177s    
step 00078 (1.7%) | loss: 6.657299 | lrm: 1.00 | dt: 46ms | tok/sec: 1,412,005 | mfu: 39.5% | epoch: 1 | remaining: 177s    
step 00079 (1.8%) | loss: 6.649234 | lrm: 1.00 | dt: 47ms | tok/sec: 1,403,419 | mfu: 39.3% | epoch: 1 | remaining: 177s    
step 00080 (1.8%) | loss: 6.642293 | lrm: 1.00 | dt: 47ms | tok/sec: 1,381,629 | mfu: 38.7% | epoch: 1 | remaining: 177s    
step 00081 (1.8%) | loss: 6.631291 | lrm: 1.00 | dt: 47ms | tok/sec: 1,394,059 | mfu: 39.0% | epoch: 1 | remaining: 177s    
step 00082 (1.8%) | loss: 6.622782 | lrm: 1.00 | dt: 47ms | tok/sec: 1,397,504 | mfu: 39.1% | epoch: 1 | remaining: 177s    
step 00083 (1.9%) | loss: 6.614918 | lrm: 1.00 | dt: 47ms | tok/sec: 1,399,874 | mfu: 39.2% | epoch: 1 | remaining: 177s    
step 00084 (1.9%) | loss: 6.611056 | lrm: 1.00 | dt: 46ms | tok/sec: 1,409,651 | mfu: 39.4% | epoch: 1 | remaining: 177s    
step 00085 (1.9%) | loss: 6.602806 | lrm: 1.00 | dt: 47ms | tok/sec: 1,389,739 | mfu: 38.9% | epoch: 1 | remaining: 176s    
step 00086 (2.0%) | loss: 6.588990 | lrm: 1.00 | dt: 47ms | tok/sec: 1,393,543 | mfu: 39.0% | epoch: 1 | remaining: 176s    
step 00087 (2.0%) | loss: 6.578941 | lrm: 1.00 | dt: 46ms | tok/sec: 1,410,425 | mfu: 39.5% | epoch: 1 | remaining: 176s    
step 00088 (2.0%) | loss: 6.572724 | lrm: 1.00 | dt: 47ms | tok/sec: 1,383,478 | mfu: 38.7% | epoch: 1 | remaining: 176s    
step 00089 (2.0%) | loss: 6.565512 | lrm: 1.00 | dt: 47ms | tok/sec: 1,394,837 | mfu: 39.0% | epoch: 1 | remaining: 176s    
step 00090 (2.1%) | loss: 6.565171 | lrm: 1.00 | dt: 47ms | tok/sec: 1,400,430 | mfu: 39.2% | epoch: 1 | remaining: 176s    
step 00091 (2.1%) | loss: 6.556499 | lrm: 1.00 | dt: 47ms | tok/sec: 1,381,087 | mfu: 38.6% | epoch: 1 | remaining: 176s    
step 00092 (2.1%) | loss: 6.555994 | lrm: 1.00 | dt: 47ms | tok/sec: 1,394,901 | mfu: 39.0% | epoch: 1 | remaining: 176s    
step 00093 (2.1%) | loss: 6.547713 | lrm: 1.00 | dt: 47ms | tok/sec: 1,392,491 | mfu: 39.0% | epoch: 1 | remaining: 176s    
step 00094 (2.2%) | loss: 6.540647 | lrm: 1.00 | dt: 47ms | tok/sec: 1,405,414 | mfu: 39.3% | epoch: 1 | remaining: 176s    
step 00095 (2.2%) | loss: 6.531233 | lrm: 1.00 | dt: 47ms | tok/sec: 1,391,448 | mfu: 38.9% | epoch: 1 | remaining: 176s    
step 00096 (2.2%) | loss: 6.524202 | lrm: 1.00 | dt: 47ms | tok/sec: 1,392,118 | mfu: 38.9% | epoch: 1 | remaining: 176s    
step 00097 (2.2%) | loss: 6.516738 | lrm: 1.00 | dt: 47ms | tok/sec: 1,392,809 | mfu: 39.0% | epoch: 1 | remaining: 176s    
step 00098 (2.3%) | loss: 6.507728 | lrm: 1.00 | dt: 47ms | tok/sec: 1,401,280 | mfu: 39.2% | epoch: 1 | remaining: 176s    
step 00099 (2.3%) | loss: 6.506165 | lrm: 1.00 | dt: 46ms | tok/sec: 1,410,273 | mfu: 39.5% | epoch: 1 | remaining: 176s    
step 00100 (2.3%) | loss: 6.502019 | lrm: 1.00 | dt: 47ms | tok/sec: 1,392,661 | mfu: 39.0% | epoch: 1 | remaining: 176s    
step 00101 (2.3%) | loss: 6.496538 | lrm: 1.00 | dt: 47ms | tok/sec: 1,398,492 | mfu: 39.1% | epoch: 1 | remaining: 176s    
step 00102 (2.4%) | loss: 6.495414 | lrm: 1.00 | dt: 47ms | tok/sec: 1,397,973 | mfu: 39.1% | epoch: 1 | remaining: 176s    
step 00103 (2.4%) | loss: 6.484185 | lrm: 1.00 | dt: 46ms | tok/sec: 1,409,890 | mfu: 39.4% | epoch: 1 | remaining: 176s    
step 00104 (2.4%) | loss: 6.476384 | lrm: 1.00 | dt: 46ms | tok/sec: 1,414,963 | mfu: 39.6% | epoch: 1 | remaining: 176s    
step 00105 (2.4%) | loss: 6.469560 | lrm: 1.00 | dt: 46ms | tok/sec: 1,414,279 | mfu: 39.6% | epoch: 1 | remaining: 176s    
step 00106 (2.5%) | loss: 6.468869 | lrm: 1.00 | dt: 46ms | tok/sec: 1,413,152 | mfu: 39.5% | epoch: 1 | remaining: 176s    
step 00107 (2.5%) | loss: 6.474150 | lrm: 1.00 | dt: 47ms | tok/sec: 1,383,910 | mfu: 38.7% | epoch: 1 | remaining: 175s    
step 00108 (2.5%) | loss: 6.486158 | lrm: 1.00 | dt: 47ms | tok/sec: 1,386,570 | mfu: 38.8% | epoch: 1 | remaining: 175s    
step 00109 (2.6%) | loss: 6.489714 | lrm: 1.00 | dt: 47ms | tok/sec: 1,395,404 | mfu: 39.0% | epoch: 1 | remaining: 175s    
step 00110 (2.6%) | loss: 6.491668 | lrm: 1.00 | dt: 47ms | tok/sec: 1,404,451 | mfu: 39.3% | epoch: 1 | remaining: 175s    
step 00111 (2.6%) | loss: 6.499686 | lrm: 1.00 | dt: 47ms | tok/sec: 1,387,858 | mfu: 38.8% | epoch: 1 | remaining: 175s    
step 00112 (2.6%) | loss: 6.508747 | lrm: 1.00 | dt: 47ms | tok/sec: 1,392,844 | mfu: 39.0% | epoch: 1 | remaining: 175s    
step 00113 (2.7%) | loss: 6.522869 | lrm: 1.00 | dt: 47ms | tok/sec: 1,405,636 | mfu: 39.3% | epoch: 1 | remaining: 175s    
step 00114 (2.7%) | loss: 6.524448 | lrm: 1.00 | dt: 47ms | tok/sec: 1,408,496 | mfu: 39.4% | epoch: 1 | remaining: 175s    
step 00115 (2.7%) | loss: 6.520386 | lrm: 1.00 | dt: 47ms | tok/sec: 1,392,202 | mfu: 38.9% | epoch: 1 | remaining: 175s    
step 00116 (2.7%) | loss: 6.521842 | lrm: 1.00 | dt: 47ms | tok/sec: 1,399,026 | mfu: 39.1% | epoch: 1 | remaining: 175s    
step 00117 (2.8%) | loss: 6.518360 | lrm: 1.00 | dt: 47ms | tok/sec: 1,402,087 | mfu: 39.2% | epoch: 1 | remaining: 175s    
step 00118 (2.8%) | loss: 6.513114 | lrm: 1.00 | dt: 46ms | tok/sec: 1,411,258 | mfu: 39.5% | epoch: 1 | remaining: 175s    
step 00119 (2.8%) | loss: 6.503513 | lrm: 1.00 | dt: 47ms | tok/sec: 1,406,982 | mfu: 39.4% | epoch: 1 | remaining: 175s    
step 00120 (2.8%) | loss: 6.493120 | lrm: 1.00 | dt: 47ms | tok/sec: 1,385,815 | mfu: 38.8% | epoch: 1 | remaining: 175s    
step 00121 (2.9%) | loss: 6.487075 | lrm: 1.00 | dt: 47ms | tok/sec: 1,393,451 | mfu: 39.0% | epoch: 1 | remaining: 175s    
step 00122 (2.9%) | loss: 6.473823 | lrm: 1.00 | dt: 47ms | tok/sec: 1,389,395 | mfu: 38.9% | epoch: 1 | remaining: 175s    
step 00123 (2.9%) | loss: 6.465453 | lrm: 1.00 | dt: 47ms | tok/sec: 1,384,098 | mfu: 38.7% | epoch: 1 | remaining: 175s    
step 00124 (2.9%) | loss: 6.458943 | lrm: 1.00 | dt: 47ms | tok/sec: 1,407,241 | mfu: 39.4% | epoch: 1 | remaining: 175s    
step 00125 (3.0%) | loss: 6.451127 | lrm: 1.00 | dt: 47ms | tok/sec: 1,403,892 | mfu: 39.3% | epoch: 1 | remaining: 175s    
step 00126 (3.0%) | loss: 6.443641 | lrm: 1.00 | dt: 48ms | tok/sec: 1,373,517 | mfu: 38.4% | epoch: 1 | remaining: 175s    
step 00127 (3.0%) | loss: 6.435080 | lrm: 1.00 | dt: 47ms | tok/sec: 1,397,511 | mfu: 39.1% | epoch: 1 | remaining: 175s    
step 00128 (3.0%) | loss: 6.429713 | lrm: 1.00 | dt: 47ms | tok/sec: 1,381,795 | mfu: 38.7% | epoch: 1 | remaining: 174s    
step 00129 (3.1%) | loss: 6.422022 | lrm: 1.00 | dt: 47ms | tok/sec: 1,383,548 | mfu: 38.7% | epoch: 1 | remaining: 174s    
step 00130 (3.1%) | loss: 6.418826 | lrm: 1.00 | dt: 47ms | tok/sec: 1,390,294 | mfu: 38.9% | epoch: 1 | remaining: 174s    
step 00131 (3.1%) | loss: 6.413998 | lrm: 1.00 | dt: 47ms | tok/sec: 1,397,141 | mfu: 39.1% | epoch: 1 | remaining: 174s    
step 00132 (3.2%) | loss: 6.412542 | lrm: 1.00 | dt: 46ms | tok/sec: 1,411,729 | mfu: 39.5% | epoch: 1 | remaining: 174s    
step 00133 (3.2%) | loss: 6.412532 | lrm: 1.00 | dt: 46ms | tok/sec: 1,412,462 | mfu: 39.5% | epoch: 1 | remaining: 174s    
step 00134 (3.2%) | loss: 6.414499 | lrm: 1.00 | dt: 47ms | tok/sec: 1,394,045 | mfu: 39.0% | epoch: 1 | remaining: 174s    
step 00135 (3.2%) | loss: 6.421998 | lrm: 1.00 | dt: 47ms | tok/sec: 1,401,473 | mfu: 39.2% | epoch: 1 | remaining: 174s    
step 00136 (3.3%) | loss: 6.418304 | lrm: 1.00 | dt: 48ms | tok/sec: 1,354,358 | mfu: 37.9% | epoch: 1 | remaining: 174s    
step 00137 (3.3%) | loss: 6.418670 | lrm: 1.00 | dt: 48ms | tok/sec: 1,370,073 | mfu: 38.3% | epoch: 1 | remaining: 174s    
step 00138 (3.3%) | loss: 6.415347 | lrm: 1.00 | dt: 46ms | tok/sec: 1,410,939 | mfu: 39.5% | epoch: 1 | remaining: 174s    
step 00139 (3.3%) | loss: 6.410506 | lrm: 1.00 | dt: 47ms | tok/sec: 1,401,473 | mfu: 39.2% | epoch: 1 | remaining: 174s    
step 00140 (3.4%) | loss: 6.401175 | lrm: 1.00 | dt: 47ms | tok/sec: 1,401,766 | mfu: 39.2% | epoch: 1 | remaining: 174s    
step 00141 (3.4%) | loss: 6.396621 | lrm: 1.00 | dt: 46ms | tok/sec: 1,413,857 | mfu: 39.6% | epoch: 1 | remaining: 174s    
step 00142 (3.4%) | loss: 6.389988 | lrm: 1.00 | dt: 46ms | tok/sec: 1,413,595 | mfu: 39.5% | epoch: 1 | remaining: 174s    
step 00143 (3.4%) | loss: 6.384354 | lrm: 1.00 | dt: 46ms | tok/sec: 1,414,315 | mfu: 39.6% | epoch: 1 | remaining: 174s    
step 00144 (3.5%) | loss: 6.378466 | lrm: 1.00 | dt: 46ms | tok/sec: 1,411,845 | mfu: 39.5% | epoch: 1 | remaining: 174s    
step 00145 (3.5%) | loss: 6.372344 | lrm: 1.00 | dt: 47ms | tok/sec: 1,393,473 | mfu: 39.0% | epoch: 1 | remaining: 174s    
step 00146 (3.5%) | loss: 6.365745 | lrm: 1.00 | dt: 48ms | tok/sec: 1,376,709 | mfu: 38.5% | epoch: 1 | remaining: 174s    
step 00147 (3.5%) | loss: 6.366107 | lrm: 1.00 | dt: 47ms | tok/sec: 1,389,472 | mfu: 38.9% | epoch: 1 | remaining: 174s    
step 00148 (3.6%) | loss: 6.367871 | lrm: 1.00 | dt: 47ms | tok/sec: 1,390,941 | mfu: 38.9% | epoch: 1 | remaining: 174s    
step 00149 (3.6%) | loss: 6.377007 | lrm: 1.00 | dt: 47ms | tok/sec: 1,379,888 | mfu: 38.6% | epoch: 1 | remaining: 173s    
