experiment_start=2026-07-10T15:59:59Z description=sixteenth global batch for update frequency
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_embd': 512, 'mlp_hidden_multiplier': 4, 'rotary_seq_len_multiplier': 10, 'rotary_base': 10000.0, 'softcap': 15.0, 'ignore_index': -1, 'init_wte_mean': 0.0, 'init_wte_std': 1.0, 'init_lm_head_mean': 0.0, 'init_lm_head_std': 0.001, 'init_matrix_scale': 1.7320508075688772}
Parameter counts:
  wte                     : 4,194,304
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  total                   : 33,554,432
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 180s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011232 | lrm: 1.00 | dt: 12746ms | tok/sec: 2,570 | mfu: 0.1% | epoch: 1 | remaining: 180s    
step 00001 (0.0%) | loss: 8.999045 | lrm: 1.00 | dt: 26ms | tok/sec: 1,275,500 | mfu: 35.7% | epoch: 1 | remaining: 180s    
step 00002 (0.0%) | loss: 8.691570 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,705 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00003 (0.0%) | loss: 8.479437 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,146 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00004 (0.0%) | loss: 8.348403 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,033 | mfu: 36.6% | epoch: 1 | remaining: 180s    
step 00005 (0.0%) | loss: 8.269695 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,853 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00006 (0.0%) | loss: 8.188957 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,230 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00007 (0.0%) | loss: 8.115453 | lrm: 1.00 | dt: 25ms | tok/sec: 1,299,892 | mfu: 36.4% | epoch: 1 | remaining: 180s    
step 00008 (0.0%) | loss: 8.038450 | lrm: 1.00 | dt: 25ms | tok/sec: 1,302,084 | mfu: 36.4% | epoch: 1 | remaining: 180s    
step 00009 (0.0%) | loss: 7.974420 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,183 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00010 (0.0%) | loss: 7.922079 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,121 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00011 (0.0%) | loss: 7.880758 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,151 | mfu: 36.5% | epoch: 1 | remaining: 180s    
step 00012 (0.0%) | loss: 7.838938 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,112 | mfu: 36.6% | epoch: 1 | remaining: 180s    
step 00058 (0.7%) | loss: 6.974194 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,903 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00059 (0.7%) | loss: 6.963400 | lrm: 1.00 | dt: 42ms | tok/sec: 783,310 | mfu: 21.9% | epoch: 1 | remaining: 179s    
step 00060 (0.7%) | loss: 6.960445 | lrm: 1.00 | dt: 25ms | tok/sec: 1,301,887 | mfu: 36.4% | epoch: 1 | remaining: 179s    
step 00061 (0.7%) | loss: 6.956142 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,510 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00062 (0.7%) | loss: 6.945918 | lrm: 1.00 | dt: 43ms | tok/sec: 763,906 | mfu: 21.4% | epoch: 1 | remaining: 179s    
step 00063 (0.8%) | loss: 6.942390 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,791 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00064 (0.8%) | loss: 6.931682 | lrm: 1.00 | dt: 29ms | tok/sec: 1,111,309 | mfu: 31.1% | epoch: 1 | remaining: 179s    
step 00065 (0.8%) | loss: 6.929124 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,779 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00066 (0.8%) | loss: 6.919976 | lrm: 1.00 | dt: 37ms | tok/sec: 885,657 | mfu: 24.8% | epoch: 1 | remaining: 179s    
step 00067 (0.8%) | loss: 6.913476 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,163 | mfu: 36.5% | epoch: 1 | remaining: 179s    
step 00068 (0.8%) | loss: 6.898835 | lrm: 1.00 | dt: 29ms | tok/sec: 1,141,443 | mfu: 31.9% | epoch: 1 | remaining: 178s    
step 00069 (0.8%) | loss: 6.892578 | lrm: 1.00 | dt: 25ms | tok/sec: 1,295,628 | mfu: 36.2% | epoch: 1 | remaining: 178s    
step 00070 (0.9%) | loss: 6.884398 | lrm: 1.00 | dt: 30ms | tok/sec: 1,086,920 | mfu: 30.4% | epoch: 1 | remaining: 178s    
step 00071 (0.9%) | loss: 6.869421 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,423 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00072 (0.9%) | loss: 6.863249 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,429 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00073 (0.9%) | loss: 6.853281 | lrm: 1.00 | dt: 29ms | tok/sec: 1,138,776 | mfu: 31.9% | epoch: 1 | remaining: 178s    
step 00074 (0.9%) | loss: 6.840604 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,236 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00075 (0.9%) | loss: 6.832027 | lrm: 1.00 | dt: 26ms | tok/sec: 1,271,241 | mfu: 35.6% | epoch: 1 | remaining: 178s    
step 00076 (0.9%) | loss: 6.821432 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,780 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00077 (1.0%) | loss: 6.818844 | lrm: 1.00 | dt: 41ms | tok/sec: 807,405 | mfu: 22.6% | epoch: 1 | remaining: 178s    
step 00078 (1.0%) | loss: 6.815704 | lrm: 1.00 | dt: 25ms | tok/sec: 1,299,180 | mfu: 36.3% | epoch: 1 | remaining: 178s    
step 00079 (1.0%) | loss: 6.810620 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,771 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00080 (1.0%) | loss: 6.813664 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,232 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00081 (1.0%) | loss: 6.807289 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,622 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00082 (1.0%) | loss: 6.797063 | lrm: 1.00 | dt: 25ms | tok/sec: 1,309,878 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00083 (1.1%) | loss: 6.798963 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,194 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00084 (1.1%) | loss: 6.784106 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,423 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00085 (1.1%) | loss: 6.779213 | lrm: 1.00 | dt: 25ms | tok/sec: 1,309,017 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00086 (1.1%) | loss: 6.768284 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,503 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00087 (1.1%) | loss: 6.765494 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,008 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00088 (1.1%) | loss: 6.754769 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,990 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00089 (1.1%) | loss: 6.750073 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,734 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00090 (1.2%) | loss: 6.736344 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,746 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00091 (1.2%) | loss: 6.730030 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,082 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00092 (1.2%) | loss: 6.722761 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,602 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00093 (1.2%) | loss: 6.713968 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,689 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00094 (1.2%) | loss: 6.702727 | lrm: 1.00 | dt: 30ms | tok/sec: 1,107,021 | mfu: 31.0% | epoch: 1 | remaining: 178s    
step 00095 (1.2%) | loss: 6.688325 | lrm: 1.00 | dt: 25ms | tok/sec: 1,302,998 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00096 (1.2%) | loss: 6.686202 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,395 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00097 (1.3%) | loss: 6.672100 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,271 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00098 (1.3%) | loss: 6.676411 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,659 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00099 (1.3%) | loss: 6.679488 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,727 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00100 (1.3%) | loss: 6.674848 | lrm: 1.00 | dt: 25ms | tok/sec: 1,295,994 | mfu: 36.3% | epoch: 1 | remaining: 178s    
step 00101 (1.3%) | loss: 6.667264 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,523 | mfu: 36.5% | epoch: 1 | remaining: 178s    
step 00102 (1.3%) | loss: 6.666849 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,194 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00103 (1.3%) | loss: 6.652036 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,597 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00104 (1.4%) | loss: 6.651677 | lrm: 1.00 | dt: 25ms | tok/sec: 1,309,328 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00105 (1.4%) | loss: 6.646284 | lrm: 1.00 | dt: 25ms | tok/sec: 1,309,378 | mfu: 36.6% | epoch: 1 | remaining: 178s    
step 00106 (1.4%) | loss: 6.645708 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,386 | mfu: 36.6% | epoch: 1 | remaining: 177s    
step 00107 (1.4%) | loss: 6.635998 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,443 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00108 (1.4%) | loss: 6.626931 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,721 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00109 (1.4%) | loss: 6.621251 | lrm: 1.00 | dt: 31ms | tok/sec: 1,057,523 | mfu: 29.6% | epoch: 1 | remaining: 177s    
step 00110 (1.4%) | loss: 6.612486 | lrm: 1.00 | dt: 25ms | tok/sec: 1,292,229 | mfu: 36.2% | epoch: 1 | remaining: 177s    
step 00111 (1.5%) | loss: 6.609378 | lrm: 1.00 | dt: 27ms | tok/sec: 1,226,476 | mfu: 34.3% | epoch: 1 | remaining: 177s    
step 00112 (1.5%) | loss: 6.602204 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,331 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00113 (1.5%) | loss: 6.604153 | lrm: 1.00 | dt: 25ms | tok/sec: 1,302,109 | mfu: 36.4% | epoch: 1 | remaining: 177s    
step 00114 (1.5%) | loss: 6.595953 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,255 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00115 (1.5%) | loss: 6.588826 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,300 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00116 (1.5%) | loss: 6.577753 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,262 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00117 (1.5%) | loss: 6.569162 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,507 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00118 (1.5%) | loss: 6.563020 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,187 | mfu: 36.6% | epoch: 1 | remaining: 177s    
step 00119 (1.6%) | loss: 6.569189 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,294 | mfu: 36.6% | epoch: 1 | remaining: 177s    
step 00120 (1.6%) | loss: 6.564807 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,033 | mfu: 36.6% | epoch: 1 | remaining: 177s    
step 00121 (1.6%) | loss: 6.555338 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,037 | mfu: 36.6% | epoch: 1 | remaining: 177s    
step 00122 (1.6%) | loss: 6.550879 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,296 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00123 (1.6%) | loss: 6.543175 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,609 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00124 (1.6%) | loss: 6.542264 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,804 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00125 (1.6%) | loss: 6.531023 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,940 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00126 (1.7%) | loss: 6.529563 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,101 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00127 (1.7%) | loss: 6.524002 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,920 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00128 (1.7%) | loss: 6.527215 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,027 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00129 (1.7%) | loss: 6.514964 | lrm: 1.00 | dt: 29ms | tok/sec: 1,148,694 | mfu: 32.1% | epoch: 1 | remaining: 177s    
step 00130 (1.7%) | loss: 6.509326 | lrm: 1.00 | dt: 25ms | tok/sec: 1,308,705 | mfu: 36.6% | epoch: 1 | remaining: 177s    
step 00131 (1.7%) | loss: 6.500295 | lrm: 1.00 | dt: 27ms | tok/sec: 1,233,643 | mfu: 34.5% | epoch: 1 | remaining: 177s    
step 00132 (1.7%) | loss: 6.495958 | lrm: 1.00 | dt: 25ms | tok/sec: 1,300,027 | mfu: 36.4% | epoch: 1 | remaining: 177s    
step 00133 (1.8%) | loss: 6.487570 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,746 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00134 (1.8%) | loss: 6.487551 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,982 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00135 (1.8%) | loss: 6.481754 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,829 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00136 (1.8%) | loss: 6.480815 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,143 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00137 (1.8%) | loss: 6.489255 | lrm: 1.00 | dt: 25ms | tok/sec: 1,300,963 | mfu: 36.4% | epoch: 1 | remaining: 177s    
step 00138 (1.8%) | loss: 6.486012 | lrm: 1.00 | dt: 25ms | tok/sec: 1,298,860 | mfu: 36.3% | epoch: 1 | remaining: 177s    
step 00139 (1.8%) | loss: 6.492265 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,205 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00140 (1.9%) | loss: 6.490171 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,069 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00141 (1.9%) | loss: 6.487130 | lrm: 1.00 | dt: 25ms | tok/sec: 1,303,888 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00142 (1.9%) | loss: 6.495183 | lrm: 1.00 | dt: 25ms | tok/sec: 1,311,390 | mfu: 36.7% | epoch: 1 | remaining: 177s    
step 00143 (1.9%) | loss: 6.489798 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,250 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00144 (1.9%) | loss: 6.479679 | lrm: 1.00 | dt: 25ms | tok/sec: 1,307,050 | mfu: 36.6% | epoch: 1 | remaining: 177s    
step 00145 (1.9%) | loss: 6.468812 | lrm: 1.00 | dt: 25ms | tok/sec: 1,306,367 | mfu: 36.5% | epoch: 1 | remaining: 177s    
step 00146 (1.9%) | loss: 6.465446 | lrm: 1.00 | dt: 28ms | tok/sec: 1,176,320 | mfu: 32.9% | epoch: 1 | remaining: 176s    
step 00147 (2.0%) | loss: 6.456837 | lrm: 1.00 | dt: 25ms | tok/sec: 1,304,692 | mfu: 36.5% | epoch: 1 | remaining: 176s    
step 00148 (2.0%) | loss: 6.449302 | lrm: 1.00 | dt: 25ms | tok/sec: 1,302,948 | mfu: 36.5% | epoch: 1 | remaining: 176s    
step 00149 (2.0%) | loss: 6.448595 | lrm: 1.00 | dt: 25ms | tok/sec: 1,305,895 | mfu: 36.5% | epoch: 1 | remaining: 176s    
