experiment_start=2026-07-10T15:51:13Z description=1.15x learning rates at 65k batch
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_embd': 512, 'mlp_hidden_multiplier': 4, 'rotary_seq_len_multiplier': 10, 'rotary_base': 10000.0, 'softcap': 15.0, 'ignore_index': -1, 'init_wte_mean': 0.0, 'init_wte_std': 1.0, 'init_lm_head_mean': 0.0, 'init_lm_head_std': 0.001, 'init_matrix_scale': 1.7320508075688772}
Parameter counts:
  wte                     : 4,194,304
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  total                   : 33,554,432
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 180s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011307 | lrm: 1.00 | dt: 13953ms | tok/sec: 4,696 | mfu: 0.1% | epoch: 1 | remaining: 180s    
step 00001 (0.0%) | loss: 8.993724 | lrm: 1.00 | dt: 106ms | tok/sec: 619,214 | mfu: 17.3% | epoch: 1 | remaining: 180s    
step 00002 (0.0%) | loss: 8.707862 | lrm: 1.00 | dt: 103ms | tok/sec: 633,594 | mfu: 17.7% | epoch: 1 | remaining: 180s    
step 00003 (0.0%) | loss: 8.508865 | lrm: 1.00 | dt: 106ms | tok/sec: 620,225 | mfu: 17.4% | epoch: 1 | remaining: 180s    
step 00004 (0.0%) | loss: 8.389803 | lrm: 1.00 | dt: 102ms | tok/sec: 641,731 | mfu: 18.0% | epoch: 1 | remaining: 180s    
step 00005 (0.0%) | loss: 8.292674 | lrm: 1.00 | dt: 102ms | tok/sec: 642,802 | mfu: 18.0% | epoch: 1 | remaining: 180s    
step 00006 (0.0%) | loss: 8.196695 | lrm: 1.00 | dt: 106ms | tok/sec: 618,391 | mfu: 17.3% | epoch: 1 | remaining: 180s    
step 00007 (0.0%) | loss: 8.108358 | lrm: 1.00 | dt: 102ms | tok/sec: 643,302 | mfu: 18.0% | epoch: 1 | remaining: 180s    
step 00008 (0.0%) | loss: 8.023138 | lrm: 1.00 | dt: 106ms | tok/sec: 620,605 | mfu: 17.4% | epoch: 1 | remaining: 180s    
step 00009 (0.0%) | loss: 7.955645 | lrm: 1.00 | dt: 102ms | tok/sec: 643,084 | mfu: 18.0% | epoch: 1 | remaining: 180s    
step 00010 (0.0%) | loss: 7.906377 | lrm: 1.00 | dt: 106ms | tok/sec: 620,087 | mfu: 17.3% | epoch: 1 | remaining: 180s    
step 00011 (0.0%) | loss: 7.863428 | lrm: 1.00 | dt: 104ms | tok/sec: 632,330 | mfu: 17.7% | epoch: 1 | remaining: 180s    
step 00012 (0.1%) | loss: 7.820691 | lrm: 1.00 | dt: 106ms | tok/sec: 620,571 | mfu: 17.4% | epoch: 1 | remaining: 180s    
step 00031 (1.2%) | loss: 7.327128 | lrm: 1.00 | dt: 106ms | tok/sec: 620,873 | mfu: 17.4% | epoch: 1 | remaining: 178s    
step 00032 (1.2%) | loss: 7.313614 | lrm: 1.00 | dt: 104ms | tok/sec: 627,867 | mfu: 17.6% | epoch: 1 | remaining: 178s    
step 00033 (1.3%) | loss: 7.297998 | lrm: 1.00 | dt: 102ms | tok/sec: 641,779 | mfu: 18.0% | epoch: 1 | remaining: 178s    
step 00034 (1.3%) | loss: 7.281608 | lrm: 1.00 | dt: 106ms | tok/sec: 620,185 | mfu: 17.4% | epoch: 1 | remaining: 177s    
step 00035 (1.4%) | loss: 7.264419 | lrm: 1.00 | dt: 104ms | tok/sec: 630,439 | mfu: 17.6% | epoch: 1 | remaining: 177s    
step 00036 (1.4%) | loss: 7.257441 | lrm: 1.00 | dt: 106ms | tok/sec: 619,645 | mfu: 17.3% | epoch: 1 | remaining: 177s    
step 00037 (1.5%) | loss: 7.244924 | lrm: 1.00 | dt: 102ms | tok/sec: 642,655 | mfu: 18.0% | epoch: 1 | remaining: 177s    
step 00038 (1.6%) | loss: 7.230015 | lrm: 1.00 | dt: 106ms | tok/sec: 620,112 | mfu: 17.3% | epoch: 1 | remaining: 177s    
step 00039 (1.6%) | loss: 7.209901 | lrm: 1.00 | dt: 104ms | tok/sec: 631,184 | mfu: 17.7% | epoch: 1 | remaining: 177s    
step 00040 (1.7%) | loss: 7.194304 | lrm: 1.00 | dt: 106ms | tok/sec: 619,408 | mfu: 17.3% | epoch: 1 | remaining: 177s    
step 00041 (1.7%) | loss: 7.179817 | lrm: 1.00 | dt: 102ms | tok/sec: 641,033 | mfu: 17.9% | epoch: 1 | remaining: 177s    
step 00042 (1.8%) | loss: 7.161609 | lrm: 1.00 | dt: 105ms | tok/sec: 621,676 | mfu: 17.4% | epoch: 1 | remaining: 177s    
step 00043 (1.9%) | loss: 7.147324 | lrm: 1.00 | dt: 102ms | tok/sec: 641,265 | mfu: 17.9% | epoch: 1 | remaining: 177s    
step 00044 (1.9%) | loss: 7.131847 | lrm: 1.00 | dt: 106ms | tok/sec: 620,011 | mfu: 17.3% | epoch: 1 | remaining: 176s    
step 00045 (2.0%) | loss: 7.113923 | lrm: 1.00 | dt: 104ms | tok/sec: 628,909 | mfu: 17.6% | epoch: 1 | remaining: 176s    
step 00046 (2.0%) | loss: 7.096992 | lrm: 1.00 | dt: 104ms | tok/sec: 630,510 | mfu: 17.6% | epoch: 1 | remaining: 176s    
step 00047 (2.1%) | loss: 7.077856 | lrm: 1.00 | dt: 106ms | tok/sec: 619,725 | mfu: 17.3% | epoch: 1 | remaining: 176s    
step 00048 (2.1%) | loss: 7.060315 | lrm: 1.00 | dt: 104ms | tok/sec: 631,228 | mfu: 17.7% | epoch: 1 | remaining: 176s    
step 00049 (2.2%) | loss: 7.044762 | lrm: 1.00 | dt: 106ms | tok/sec: 620,971 | mfu: 17.4% | epoch: 1 | remaining: 176s    
step 00050 (2.3%) | loss: 7.028806 | lrm: 1.00 | dt: 102ms | tok/sec: 641,881 | mfu: 18.0% | epoch: 1 | remaining: 176s    
step 00051 (2.3%) | loss: 7.012494 | lrm: 1.00 | dt: 105ms | tok/sec: 621,566 | mfu: 17.4% | epoch: 1 | remaining: 176s    
step 00052 (2.4%) | loss: 6.998612 | lrm: 1.00 | dt: 102ms | tok/sec: 641,800 | mfu: 18.0% | epoch: 1 | remaining: 176s    
step 00053 (2.4%) | loss: 6.982707 | lrm: 1.00 | dt: 106ms | tok/sec: 619,661 | mfu: 17.3% | epoch: 1 | remaining: 176s    
step 00054 (2.5%) | loss: 6.968269 | lrm: 1.00 | dt: 104ms | tok/sec: 630,928 | mfu: 17.7% | epoch: 1 | remaining: 175s    
step 00055 (2.5%) | loss: 6.954650 | lrm: 1.00 | dt: 105ms | tok/sec: 621,305 | mfu: 17.4% | epoch: 1 | remaining: 175s    
step 00056 (2.6%) | loss: 6.957081 | lrm: 1.00 | dt: 102ms | tok/sec: 640,472 | mfu: 17.9% | epoch: 1 | remaining: 175s    
step 00057 (2.7%) | loss: 6.961330 | lrm: 1.00 | dt: 104ms | tok/sec: 631,227 | mfu: 17.7% | epoch: 1 | remaining: 175s    
step 00058 (2.7%) | loss: 6.945187 | lrm: 1.00 | dt: 106ms | tok/sec: 618,730 | mfu: 17.3% | epoch: 1 | remaining: 175s    
step 00059 (2.8%) | loss: 6.935939 | lrm: 1.00 | dt: 102ms | tok/sec: 640,035 | mfu: 17.9% | epoch: 1 | remaining: 175s    
step 00060 (2.8%) | loss: 6.921985 | lrm: 1.00 | dt: 106ms | tok/sec: 618,350 | mfu: 17.3% | epoch: 1 | remaining: 175s    
step 00061 (2.9%) | loss: 6.908009 | lrm: 1.00 | dt: 102ms | tok/sec: 641,005 | mfu: 17.9% | epoch: 1 | remaining: 175s    
step 00062 (3.0%) | loss: 6.895091 | lrm: 1.00 | dt: 106ms | tok/sec: 621,035 | mfu: 17.4% | epoch: 1 | remaining: 175s    
step 00063 (3.0%) | loss: 6.882410 | lrm: 1.00 | dt: 104ms | tok/sec: 631,672 | mfu: 17.7% | epoch: 1 | remaining: 174s    
step 00064 (3.1%) | loss: 6.875531 | lrm: 1.00 | dt: 106ms | tok/sec: 618,758 | mfu: 17.3% | epoch: 1 | remaining: 174s    
step 00065 (3.1%) | loss: 6.865750 | lrm: 1.00 | dt: 102ms | tok/sec: 640,951 | mfu: 17.9% | epoch: 1 | remaining: 174s    
step 00066 (3.2%) | loss: 6.849322 | lrm: 1.00 | dt: 106ms | tok/sec: 620,318 | mfu: 17.4% | epoch: 1 | remaining: 174s    
step 00067 (3.2%) | loss: 6.838540 | lrm: 1.00 | dt: 104ms | tok/sec: 631,274 | mfu: 17.7% | epoch: 1 | remaining: 174s    
step 00068 (3.3%) | loss: 6.826553 | lrm: 1.00 | dt: 106ms | tok/sec: 619,768 | mfu: 17.3% | epoch: 1 | remaining: 174s    
step 00069 (3.4%) | loss: 6.809173 | lrm: 1.00 | dt: 104ms | tok/sec: 630,996 | mfu: 17.7% | epoch: 1 | remaining: 174s    
step 00070 (3.4%) | loss: 6.792736 | lrm: 1.00 | dt: 102ms | tok/sec: 644,108 | mfu: 18.0% | epoch: 1 | remaining: 174s    
step 00071 (3.5%) | loss: 6.782694 | lrm: 1.00 | dt: 106ms | tok/sec: 619,542 | mfu: 17.3% | epoch: 1 | remaining: 174s    
step 00072 (3.5%) | loss: 6.764261 | lrm: 1.00 | dt: 104ms | tok/sec: 630,805 | mfu: 17.6% | epoch: 1 | remaining: 174s    
step 00073 (3.6%) | loss: 6.750147 | lrm: 1.00 | dt: 106ms | tok/sec: 620,013 | mfu: 17.3% | epoch: 1 | remaining: 173s    
step 00074 (3.6%) | loss: 6.740247 | lrm: 1.00 | dt: 104ms | tok/sec: 630,744 | mfu: 17.6% | epoch: 1 | remaining: 173s    
step 00075 (3.7%) | loss: 6.724360 | lrm: 1.00 | dt: 106ms | tok/sec: 619,606 | mfu: 17.3% | epoch: 1 | remaining: 173s    
step 00076 (3.8%) | loss: 6.708792 | lrm: 1.00 | dt: 102ms | tok/sec: 640,168 | mfu: 17.9% | epoch: 1 | remaining: 173s    
step 00077 (3.8%) | loss: 6.696899 | lrm: 1.00 | dt: 106ms | tok/sec: 618,583 | mfu: 17.3% | epoch: 1 | remaining: 173s    
step 00078 (3.9%) | loss: 6.684813 | lrm: 1.00 | dt: 103ms | tok/sec: 639,344 | mfu: 17.9% | epoch: 1 | remaining: 173s    
step 00079 (3.9%) | loss: 6.673523 | lrm: 1.00 | dt: 106ms | tok/sec: 621,098 | mfu: 17.4% | epoch: 1 | remaining: 173s    
step 00080 (4.0%) | loss: 6.664064 | lrm: 1.00 | dt: 104ms | tok/sec: 629,574 | mfu: 17.6% | epoch: 1 | remaining: 173s    
step 00081 (4.1%) | loss: 6.652647 | lrm: 1.00 | dt: 105ms | tok/sec: 621,499 | mfu: 17.4% | epoch: 1 | remaining: 173s    
step 00082 (4.1%) | loss: 6.644433 | lrm: 1.00 | dt: 104ms | tok/sec: 630,979 | mfu: 17.7% | epoch: 1 | remaining: 172s    
step 00083 (4.2%) | loss: 6.636218 | lrm: 1.00 | dt: 104ms | tok/sec: 630,815 | mfu: 17.6% | epoch: 1 | remaining: 172s    
step 00084 (4.2%) | loss: 6.634977 | lrm: 1.00 | dt: 106ms | tok/sec: 619,293 | mfu: 17.3% | epoch: 1 | remaining: 172s    
step 00085 (4.3%) | loss: 6.628302 | lrm: 1.00 | dt: 104ms | tok/sec: 630,375 | mfu: 17.6% | epoch: 1 | remaining: 172s    
step 00086 (4.3%) | loss: 6.614663 | lrm: 1.00 | dt: 106ms | tok/sec: 619,268 | mfu: 17.3% | epoch: 1 | remaining: 172s    
step 00087 (4.4%) | loss: 6.606399 | lrm: 1.00 | dt: 104ms | tok/sec: 629,936 | mfu: 17.6% | epoch: 1 | remaining: 172s    
step 00088 (4.5%) | loss: 6.600496 | lrm: 1.00 | dt: 106ms | tok/sec: 619,238 | mfu: 17.3% | epoch: 1 | remaining: 172s    
step 00089 (4.5%) | loss: 6.592544 | lrm: 1.00 | dt: 102ms | tok/sec: 641,238 | mfu: 17.9% | epoch: 1 | remaining: 172s    
step 00090 (4.6%) | loss: 6.589894 | lrm: 1.00 | dt: 106ms | tok/sec: 620,014 | mfu: 17.3% | epoch: 1 | remaining: 172s    
step 00091 (4.6%) | loss: 6.579267 | lrm: 1.00 | dt: 104ms | tok/sec: 629,529 | mfu: 17.6% | epoch: 1 | remaining: 172s    
step 00092 (4.7%) | loss: 6.578825 | lrm: 1.00 | dt: 106ms | tok/sec: 619,700 | mfu: 17.3% | epoch: 1 | remaining: 171s    
step 00093 (4.8%) | loss: 6.577027 | lrm: 1.00 | dt: 104ms | tok/sec: 629,858 | mfu: 17.6% | epoch: 1 | remaining: 171s    
step 00094 (4.8%) | loss: 6.590521 | lrm: 1.00 | dt: 101ms | tok/sec: 646,064 | mfu: 18.1% | epoch: 1 | remaining: 171s    
step 00095 (4.9%) | loss: 6.595438 | lrm: 1.00 | dt: 106ms | tok/sec: 619,746 | mfu: 17.3% | epoch: 1 | remaining: 171s    
step 00096 (4.9%) | loss: 6.596266 | lrm: 1.00 | dt: 102ms | tok/sec: 641,451 | mfu: 17.9% | epoch: 1 | remaining: 171s    
step 00097 (5.0%) | loss: 6.591861 | lrm: 1.00 | dt: 106ms | tok/sec: 620,489 | mfu: 17.4% | epoch: 1 | remaining: 171s    
step 00098 (5.0%) | loss: 6.582181 | lrm: 1.00 | dt: 104ms | tok/sec: 632,684 | mfu: 17.7% | epoch: 1 | remaining: 171s    
step 00099 (5.1%) | loss: 6.579196 | lrm: 1.00 | dt: 106ms | tok/sec: 618,370 | mfu: 17.3% | epoch: 1 | remaining: 171s    
step 00100 (5.2%) | loss: 6.573709 | lrm: 1.00 | dt: 102ms | tok/sec: 641,397 | mfu: 17.9% | epoch: 1 | remaining: 171s    
step 00101 (5.2%) | loss: 6.566243 | lrm: 1.00 | dt: 106ms | tok/sec: 618,652 | mfu: 17.3% | epoch: 1 | remaining: 171s    
step 00102 (5.3%) | loss: 6.563718 | lrm: 1.00 | dt: 102ms | tok/sec: 639,969 | mfu: 17.9% | epoch: 1 | remaining: 170s    
step 00103 (5.3%) | loss: 6.559424 | lrm: 1.00 | dt: 106ms | tok/sec: 619,056 | mfu: 17.3% | epoch: 1 | remaining: 170s    
step 00104 (5.4%) | loss: 6.558858 | lrm: 1.00 | dt: 102ms | tok/sec: 640,121 | mfu: 17.9% | epoch: 1 | remaining: 170s    
step 00105 (5.4%) | loss: 6.549971 | lrm: 1.00 | dt: 106ms | tok/sec: 619,809 | mfu: 17.3% | epoch: 1 | remaining: 170s    
step 00106 (5.5%) | loss: 6.546022 | lrm: 1.00 | dt: 102ms | tok/sec: 642,277 | mfu: 18.0% | epoch: 1 | remaining: 170s    
step 00107 (5.6%) | loss: 6.539645 | lrm: 1.00 | dt: 106ms | tok/sec: 620,011 | mfu: 17.3% | epoch: 1 | remaining: 170s    
step 00108 (5.6%) | loss: 6.531548 | lrm: 1.00 | dt: 104ms | tok/sec: 627,275 | mfu: 17.5% | epoch: 1 | remaining: 170s    
step 00109 (5.7%) | loss: 6.522328 | lrm: 1.00 | dt: 103ms | tok/sec: 638,403 | mfu: 17.9% | epoch: 1 | remaining: 170s    
step 00110 (5.7%) | loss: 6.517347 | lrm: 1.00 | dt: 106ms | tok/sec: 617,637 | mfu: 17.3% | epoch: 1 | remaining: 170s    
step 00111 (5.8%) | loss: 6.509155 | lrm: 1.00 | dt: 102ms | tok/sec: 639,892 | mfu: 17.9% | epoch: 1 | remaining: 169s    
step 00112 (5.9%) | loss: 6.504733 | lrm: 1.00 | dt: 106ms | tok/sec: 619,444 | mfu: 17.3% | epoch: 1 | remaining: 169s    
step 00113 (5.9%) | loss: 6.503350 | lrm: 1.00 | dt: 104ms | tok/sec: 631,343 | mfu: 17.7% | epoch: 1 | remaining: 169s    
step 00114 (6.0%) | loss: 6.501834 | lrm: 1.00 | dt: 106ms | tok/sec: 619,418 | mfu: 17.3% | epoch: 1 | remaining: 169s    
step 00115 (6.0%) | loss: 6.496999 | lrm: 1.00 | dt: 102ms | tok/sec: 642,473 | mfu: 18.0% | epoch: 1 | remaining: 169s    
step 00116 (6.1%) | loss: 6.494133 | lrm: 1.00 | dt: 106ms | tok/sec: 619,846 | mfu: 17.3% | epoch: 1 | remaining: 169s    
step 00117 (6.1%) | loss: 6.488646 | lrm: 1.00 | dt: 104ms | tok/sec: 629,073 | mfu: 17.6% | epoch: 1 | remaining: 169s    
step 00118 (6.2%) | loss: 6.484101 | lrm: 1.00 | dt: 105ms | tok/sec: 621,393 | mfu: 17.4% | epoch: 1 | remaining: 169s    
step 00119 (6.3%) | loss: 6.474133 | lrm: 1.00 | dt: 104ms | tok/sec: 630,775 | mfu: 17.6% | epoch: 1 | remaining: 169s    
step 00120 (6.3%) | loss: 6.462811 | lrm: 1.00 | dt: 104ms | tok/sec: 630,634 | mfu: 17.6% | epoch: 1 | remaining: 169s    
step 00121 (6.4%) | loss: 6.457478 | lrm: 1.00 | dt: 104ms | tok/sec: 628,550 | mfu: 17.6% | epoch: 1 | remaining: 168s    
step 00122 (6.4%) | loss: 6.444973 | lrm: 1.00 | dt: 104ms | tok/sec: 632,452 | mfu: 17.7% | epoch: 1 | remaining: 168s    
step 00123 (6.5%) | loss: 6.439805 | lrm: 1.00 | dt: 106ms | tok/sec: 618,470 | mfu: 17.3% | epoch: 1 | remaining: 168s    
step 00124 (6.5%) | loss: 6.443770 | lrm: 1.00 | dt: 102ms | tok/sec: 641,008 | mfu: 17.9% | epoch: 1 | remaining: 168s    
step 00125 (6.6%) | loss: 6.449146 | lrm: 1.00 | dt: 106ms | tok/sec: 619,426 | mfu: 17.3% | epoch: 1 | remaining: 168s    
step 00126 (6.7%) | loss: 6.449455 | lrm: 1.00 | dt: 104ms | tok/sec: 630,627 | mfu: 17.6% | epoch: 1 | remaining: 168s    
step 00127 (6.7%) | loss: 6.445254 | lrm: 1.00 | dt: 106ms | tok/sec: 620,599 | mfu: 17.4% | epoch: 1 | remaining: 168s    
step 00128 (6.8%) | loss: 6.443607 | lrm: 1.00 | dt: 104ms | tok/sec: 630,702 | mfu: 17.6% | epoch: 1 | remaining: 168s    
step 00129 (6.8%) | loss: 6.437812 | lrm: 1.00 | dt: 106ms | tok/sec: 618,706 | mfu: 17.3% | epoch: 1 | remaining: 168s    
step 00130 (6.9%) | loss: 6.432198 | lrm: 1.00 | dt: 103ms | tok/sec: 639,106 | mfu: 17.9% | epoch: 1 | remaining: 167s    
step 00131 (7.0%) | loss: 6.423177 | lrm: 1.00 | dt: 106ms | tok/sec: 618,896 | mfu: 17.3% | epoch: 1 | remaining: 167s    
step 00132 (7.0%) | loss: 6.422599 | lrm: 1.00 | dt: 102ms | tok/sec: 639,401 | mfu: 17.9% | epoch: 1 | remaining: 167s    
step 00133 (7.1%) | loss: 6.417699 | lrm: 1.00 | dt: 104ms | tok/sec: 629,068 | mfu: 17.6% | epoch: 1 | remaining: 167s    
step 00134 (7.1%) | loss: 6.413879 | lrm: 1.00 | dt: 104ms | tok/sec: 627,955 | mfu: 17.6% | epoch: 1 | remaining: 167s    
step 00135 (7.2%) | loss: 6.407097 | lrm: 1.00 | dt: 102ms | tok/sec: 640,685 | mfu: 17.9% | epoch: 1 | remaining: 167s    
step 00136 (7.2%) | loss: 6.395899 | lrm: 1.00 | dt: 106ms | tok/sec: 619,003 | mfu: 17.3% | epoch: 1 | remaining: 167s    
step 00137 (7.3%) | loss: 6.392064 | lrm: 1.00 | dt: 102ms | tok/sec: 642,565 | mfu: 18.0% | epoch: 1 | remaining: 167s    
step 00138 (7.4%) | loss: 6.387714 | lrm: 1.00 | dt: 106ms | tok/sec: 617,050 | mfu: 17.3% | epoch: 1 | remaining: 167s    
step 00139 (7.4%) | loss: 6.384522 | lrm: 1.00 | dt: 103ms | tok/sec: 639,042 | mfu: 17.9% | epoch: 1 | remaining: 167s    
step 00140 (7.5%) | loss: 6.374961 | lrm: 1.00 | dt: 106ms | tok/sec: 618,174 | mfu: 17.3% | epoch: 1 | remaining: 166s    
step 00141 (7.5%) | loss: 6.371969 | lrm: 1.00 | dt: 102ms | tok/sec: 639,898 | mfu: 17.9% | epoch: 1 | remaining: 166s    
step 00142 (7.6%) | loss: 6.366366 | lrm: 1.00 | dt: 106ms | tok/sec: 618,404 | mfu: 17.3% | epoch: 1 | remaining: 166s    
step 00143 (7.6%) | loss: 6.363022 | lrm: 1.00 | dt: 102ms | tok/sec: 640,423 | mfu: 17.9% | epoch: 1 | remaining: 166s    
step 00144 (7.7%) | loss: 6.356655 | lrm: 1.00 | dt: 106ms | tok/sec: 618,151 | mfu: 17.3% | epoch: 1 | remaining: 166s    
step 00145 (7.8%) | loss: 6.349922 | lrm: 1.00 | dt: 103ms | tok/sec: 639,185 | mfu: 17.9% | epoch: 1 | remaining: 166s    
step 00146 (7.8%) | loss: 6.342232 | lrm: 1.00 | dt: 106ms | tok/sec: 619,493 | mfu: 17.3% | epoch: 1 | remaining: 166s    
step 00147 (7.9%) | loss: 6.341889 | lrm: 1.00 | dt: 102ms | tok/sec: 642,029 | mfu: 18.0% | epoch: 1 | remaining: 166s    
step 00148 (7.9%) | loss: 6.338874 | lrm: 1.00 | dt: 104ms | tok/sec: 632,119 | mfu: 17.7% | epoch: 1 | remaining: 166s    
step 00149 (8.0%) | loss: 6.334421 | lrm: 1.00 | dt: 104ms | tok/sec: 628,197 | mfu: 17.6% | epoch: 1 | remaining: 166s    
step 00150 (8.1%) | loss: 6.326229 | lrm: 1.00 | dt: 102ms | tok/sec: 641,490 | mfu: 17.9% | epoch: 1 | remaining: 165s    
step 00151 (8.1%) | loss: 6.325555 | lrm: 1.00 | dt: 106ms | tok/sec: 618,679 | mfu: 17.3% | epoch: 1 | remaining: 165s    
step 00152 (8.2%) | loss: 6.319218 | lrm: 1.00 | dt: 104ms | tok/sec: 630,688 | mfu: 17.6% | epoch: 1 | remaining: 165s    
step 00153 (8.2%) | loss: 6.314870 | lrm: 1.00 | dt: 106ms | tok/sec: 619,645 | mfu: 17.3% | epoch: 1 | remaining: 165s    
